system:index,NDII,NDVI,NDWI,month,point_id,.geo
0_0,0.06696935,0.69538075,0.13700788,1,2281,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,-0.055055775,0.3731177,-0.087133855,1,17521,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,-0.01880342,0.4164502,-0.08284884,1,8779,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,-0.01151362,0.2088262,-0.050332382,1,7251,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,0.05929123,0.5735404,0.01672315,1,12528,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,0.10784314,0.69491524,0.1791317,1,341,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,-0.097874574,0.39403212,-0.11841754,1,14999,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,0.297072,0.80816716,0.31217387,1,4685,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,0.017568517,0.46903422,-0.049943674,1,18656,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,-0.10062661,0.52073735,-0.28529412,1,18773,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,0.164306,0.7349824,0.17544323,1,2141,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,-0.15214181,0.22905682,-0.2031732,1,20320,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,0.08638132,0.6627043,0.12463243,1,10658,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,-0.075029776,0.32113144,-0.013725979,1,9016,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,0.008066184,0.26939842,0.02445089,1,10711,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,0.15809524,0.784,0.17073171,1,11892,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,-0.13315347,0.25248697,-0.14901835,1,8985,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,0.09936174,0.5413356,0.12454247,1,22173,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,0.068350926,0.063530356,0.019086177,1,3698,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,-0.022019334,0.5122363,-0.030040596,1,25097,"{""type"":""MultiPoint"",""coordinates"":[]}"
