system:index,NDII,NDVI,NDWI,date,point_id,.geo
0_0,0.22778828,0.7740303,0.3177453,2024-11-07,25000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.18417898,0.71492577,0.19984326,2024-11-07,25001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,0.37877908,0.8928044,0.35457566,2024-11-07,25002,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,0.18942349,0.743462,0.19914347,2024-11-07,25003,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,0.26937985,0.72143835,0.25148907,2024-11-07,25004,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,0.09815782,0.45778465,0.06871096,2024-11-07,25005,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,0.052998945,0.65145427,0.030808903,2024-11-07,25006,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,0.12857473,0.46129376,0.04194089,2024-11-07,25007,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,0.11957672,0.6615385,0.13029827,2024-11-07,25008,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,0.17706779,0.6885813,0.17237237,2024-11-07,25009,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,0.12003814,0.62198037,0.02179599,2024-11-07,25010,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,0.2503536,0.8578835,0.24301162,2024-11-07,25011,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,-0.0491107,0.5469941,-0.039179593,2024-11-07,25012,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,0.010124252,0.6108393,-0.002563505,2024-11-07,25013,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,0.23826808,0.7748729,0.24916944,2024-11-07,25014,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,0.27294287,0.7984505,0.21612485,2024-11-07,25015,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,0.14970557,0.78775275,0.19167238,2024-11-07,25016,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,0.10428737,0.7247059,0.11673967,2024-11-07,25017,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,0.17017543,0.7620008,0.07163886,2024-11-07,25018,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,-0.031593964,0.5499768,-0.062115557,2024-11-07,25019,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,0.14756757,0.7004717,0.15668449,2024-11-07,25020,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,0.14481328,0.75254136,0.18826309,2024-11-07,25021,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,0.07114026,0.6704762,0.05638134,2024-11-07,25022,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,0.39239204,0.89893323,0.39872584,2024-11-07,25023,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,0.13961565,0.6284153,0.12399811,2024-11-07,25024,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,0.25117108,0.7918844,0.26221868,2024-11-07,25025,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,-0.004899079,0.5195008,-0.022328548,2024-11-07,25026,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,0.14688395,0.75821286,0.16019943,2024-11-07,25027,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,0.0625455,0.5969255,0.049551766,2024-11-07,25028,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,0.11477152,0.6742004,0.081840724,2024-11-07,25029,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,0.24803509,0.8010785,0.18743828,2024-11-07,25030,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,0.15379739,0.6772829,0.12652303,2024-11-07,25031,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,0.11213945,0.5688368,0.112594165,2024-11-07,25032,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,0.07375996,0.534111,0.09264854,2024-11-07,25033,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,0.24535978,0.74231803,0.2094269,2024-11-07,25034,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,0.22778948,0.7919949,0.21573658,2024-11-07,25035,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,0.23793031,0.7034661,0.17378296,2024-11-07,25036,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,0.18366483,0.8240417,0.27780202,2024-11-07,25037,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,0.32156864,0.719603,0.333975,2024-11-07,25038,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,0.17095588,0.64032423,0.08950202,2024-11-07,25039,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,0.15403622,0.7077463,0.12193152,2024-11-07,25040,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,0.16252232,0.7098475,0.12844189,2024-11-07,25041,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,0.33971775,0.80966115,0.3175853,2024-11-07,25042,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,0.34288678,0.79113334,0.32119,2024-11-07,25043,"{""type"":""MultiPoint"",""coordinates"":[]}"
44_0,0.47363257,0.88475835,0.4784933,2024-11-07,25044,"{""type"":""MultiPoint"",""coordinates"":[]}"
45_0,0.054608986,0.7523593,0.15787908,2024-11-07,25045,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_0,0.19705121,0.53082705,0.20294762,2024-11-07,25046,"{""type"":""MultiPoint"",""coordinates"":[]}"
47_0,0.27686584,0.8167183,0.27954644,2024-11-07,25047,"{""type"":""MultiPoint"",""coordinates"":[]}"
48_0,0.13024439,0.6690065,0.06906034,2024-11-07,25048,"{""type"":""MultiPoint"",""coordinates"":[]}"
49_0,0.38538206,0.78396916,0.3845642,2024-11-07,25049,"{""type"":""MultiPoint"",""coordinates"":[]}"
50_0,0.052883655,0.53794575,0.034777302,2024-11-07,25050,"{""type"":""MultiPoint"",""coordinates"":[]}"
51_0,0.078629546,0.54041326,0.055374254,2024-11-07,25051,"{""type"":""MultiPoint"",""coordinates"":[]}"
52_0,0.25230202,0.7781943,0.2722396,2024-11-07,25052,"{""type"":""MultiPoint"",""coordinates"":[]}"
53_0,0.28819877,0.7846154,0.29128015,2024-11-07,25053,"{""type"":""MultiPoint"",""coordinates"":[]}"
54_0,0.28911564,0.7540676,0.3141116,2024-11-07,25054,"{""type"":""MultiPoint"",""coordinates"":[]}"
55_0,0.19390696,0.56146836,0.23620051,2024-11-07,25055,"{""type"":""MultiPoint"",""coordinates"":[]}"
56_0,0.2673221,0.7628185,0.28326082,2024-11-07,25056,"{""type"":""MultiPoint"",""coordinates"":[]}"
57_0,0.22194359,0.74800694,0.23329362,2024-11-07,25057,"{""type"":""MultiPoint"",""coordinates"":[]}"
58_0,0.12212881,0.47354797,0.0736093,2024-11-07,25058,"{""type"":""MultiPoint"",""coordinates"":[]}"
59_0,0.22086556,0.74407464,0.17725475,2024-11-07,25059,"{""type"":""MultiPoint"",""coordinates"":[]}"
60_0,0.25214443,0.81708187,0.31301618,2024-11-07,25060,"{""type"":""MultiPoint"",""coordinates"":[]}"
61_0,0.080782145,0.56259334,0.058276,2024-11-07,25061,"{""type"":""MultiPoint"",""coordinates"":[]}"
62_0,0.17382155,0.51131225,0.18564613,2024-11-07,25062,"{""type"":""MultiPoint"",""coordinates"":[]}"
63_0,0.31918907,0.83547217,0.31774154,2024-11-07,25063,"{""type"":""MultiPoint"",""coordinates"":[]}"
64_0,0.161789,0.6169661,0.14600506,2024-11-07,25064,"{""type"":""MultiPoint"",""coordinates"":[]}"
65_0,0.17456472,0.72129256,0.20155978,2024-11-07,25065,"{""type"":""MultiPoint"",""coordinates"":[]}"
66_0,0.11716783,0.6549206,0.07831011,2024-11-07,25066,"{""type"":""MultiPoint"",""coordinates"":[]}"
67_0,0.22123559,0.6,0.1971088,2024-11-07,25067,"{""type"":""MultiPoint"",""coordinates"":[]}"
68_0,0.19696306,0.6327728,0.20577617,2024-11-07,25068,"{""type"":""MultiPoint"",""coordinates"":[]}"
69_0,0.19267163,0.7515455,0.19477911,2024-11-07,25069,"{""type"":""MultiPoint"",""coordinates"":[]}"
70_0,0.3805839,0.81276774,0.29892763,2024-11-07,25070,"{""type"":""MultiPoint"",""coordinates"":[]}"
71_0,0.09493877,0.693048,0.09107688,2024-11-07,25071,"{""type"":""MultiPoint"",""coordinates"":[]}"
72_0,0.33880785,0.7261952,0.27771464,2024-11-07,25072,"{""type"":""MultiPoint"",""coordinates"":[]}"
73_0,0.24829371,0.7959576,0.27343038,2024-11-07,25073,"{""type"":""MultiPoint"",""coordinates"":[]}"
74_0,0.3623295,0.78492355,0.32369038,2024-11-07,25074,"{""type"":""MultiPoint"",""coordinates"":[]}"
75_0,0.16913266,0.72564447,0.15973906,2024-11-07,25075,"{""type"":""MultiPoint"",""coordinates"":[]}"
76_0,0.104058035,0.5961273,0.07749767,2024-11-07,25076,"{""type"":""MultiPoint"",""coordinates"":[]}"
77_0,0.14773683,0.6233476,0.12870863,2024-11-07,25077,"{""type"":""MultiPoint"",""coordinates"":[]}"
78_0,0.062466674,0.66328156,0.025076224,2024-11-07,25078,"{""type"":""MultiPoint"",""coordinates"":[]}"
79_0,0.008460198,0.50295115,-0.045324784,2024-11-07,25079,"{""type"":""MultiPoint"",""coordinates"":[]}"
80_0,0.39165884,0.8296263,0.38894385,2024-11-07,25080,"{""type"":""MultiPoint"",""coordinates"":[]}"
81_0,0.08246529,0.58921313,0.080365844,2024-11-07,25081,"{""type"":""MultiPoint"",""coordinates"":[]}"
82_0,0.19116825,0.7189483,0.13292684,2024-11-07,25082,"{""type"":""MultiPoint"",""coordinates"":[]}"
83_0,0.0745491,0.57095313,0.06191735,2024-11-07,25083,"{""type"":""MultiPoint"",""coordinates"":[]}"
84_0,0.060527187,0.5383286,0.044270404,2024-11-07,25084,"{""type"":""MultiPoint"",""coordinates"":[]}"
85_0,0.26553446,0.7177445,0.18923688,2024-11-07,25085,"{""type"":""MultiPoint"",""coordinates"":[]}"
86_0,0.16299835,0.70864254,0.13853948,2024-11-07,25086,"{""type"":""MultiPoint"",""coordinates"":[]}"
87_0,0.12139549,0.66388696,0.07060985,2024-11-07,25087,"{""type"":""MultiPoint"",""coordinates"":[]}"
88_0,0.19419006,0.75645685,0.19768874,2024-11-07,25088,"{""type"":""MultiPoint"",""coordinates"":[]}"
89_0,0.2085657,0.7352556,0.19764812,2024-11-07,25089,"{""type"":""MultiPoint"",""coordinates"":[]}"
90_0,0.20049016,0.75337905,0.3004933,2024-11-07,25090,"{""type"":""MultiPoint"",""coordinates"":[]}"
91_0,0.15626404,0.6941637,0.16059862,2024-11-07,25091,"{""type"":""MultiPoint"",""coordinates"":[]}"
